dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,sensor_id
COUGH,"('011', 'IMU')",4,71913,729.1560000000001,100.0,0.9589297352848373,0.3667236778885339,1.026660846208494,7.6156176794055925,17.169545638281214,954.761628973488,2.63671875,5.530528038403638,6.151940555459168,2.8040512860473874,58.06120946575364,84.0975646548501,102.19346566930204,686.2458097389097,2.63671875,6.163195232747887,6.669685168711029,52412.80141566459,011,IMU
COUGH,"('012', 'IMU')",2,72170,731.7259999999999,100.0,0.9609288506947952,0.39946199471475113,1.0406508258388631,5.34365717053003,16.631143450524874,539.0494915893623,2.587890625,5.012790473635869,5.453156538643217,3.165198681746466,38.785366607104656,49.87992358488747,63.184740560373626,634.8446382482222,5.224609375,6.767334619201551,7.036972244502801,19800.540447992953,012,IMU
COUGH,"('012', 'IMU')",3,69497,704.631,100.0,0.9507364428413978,0.3808577200444521,1.0241837660616246,4.643287123962358,13.76366060817877,438.3585851412553,2.587890625,4.498543919935334,4.45590860598392,2.889423582322393,38.66309492061615,46.88602126012076,60.77116008803082,414.08533117534677,1.318359375,6.190344395883712,6.529100860363118,17617.2937439416,012,IMU
COUGH,"('012', 'IMU')",4,70848,718.334,100.0,0.9656171083676367,0.4256740346343846,1.0552794813385653,6.522672384699996,20.840447869300718,812.7479271957077,2.587890625,5.983223341818999,6.54846450761802,3.526851110735565,44.36348034999909,50.08800005520231,66.90983588602427,927.1660995919452,1.318359375,6.530750403809129,7.587151410775999,23222.263299233888,012,IMU
COUGH,"('013', 'IMU')",1,72780,737.921,100.0,0.8840709579185344,0.3676491896301197,0.9574692607445311,4.355288215478365,12.628655864764845,314.271477963962,2.734375,4.257289916742834,4.205791938288316,2.772310265185287,40.39502488833613,58.45237169411774,71.05235951322513,451.5023375985998,2.734375,4.715918743427654,4.673277866985995,24508.898778741095,013,IMU
COUGH,"('013', 'IMU')",2,71282,722.746,100.0,0.8862603832400703,0.382931274340116,0.9654500648757455,4.491278741218587,14.279933461462825,394.76074072338946,2.83203125,4.652807061487859,4.630435605653835,3.0031711188882237,44.04442671183459,62.071804287558756,76.11058015734189,574.4822313477802,2.83203125,4.940649368621627,5.066140494692432,28245.150453067497,013,IMU
COUGH,"('013', 'IMU')",3,357,3.61,100.0,0.8832113357545642,0.010684800703191642,0.8832759639950747,0.06459377824078016,0.6083747110131061,4.059470750999469,2.5210084033613445,6.463397189888008,7.2178235727123825,0.0005057794096863924,7.788580900088644,4.322713590010534,8.907740747152861,23.16368193249933,0.5602240896358543,1.4509667535229942,2.3554272389640576,121.61221983548256,013,IMU
COUGH,"('013', 'IMU')",4,70660,716.4459999999999,100.0,0.8853375210081862,0.38281725836685354,0.9645577118080778,5.609615766062385,14.577730687001132,412.69765301445614,2.783203125,4.636746135595766,4.825897036633645,2.976556730348301,45.66015732292558,61.630259005491396,76.70162183316769,539.3525473400719,2.783203125,5.185483470190039,5.575137969649255,30495.953902345806,013,IMU
COUGH,"('014', 'IMU')",1,11736,118.975,100.0,0.9433556261737654,0.15529466786815352,0.9560524417112154,3.365602427455864,3.5140013430153134,213.30309708375026,2.001953125,2.4972049595244883,3.025280754854399,0.42728228136768204,8.125869735784685,17.599902795511746,19.38520924247153,157.0432929712616,0.048828125,0.9990097998093367,3.1432556084425767,4408.4668244870045,014,IMU
COUGH,"('014', 'IMU')",2,36685,371.931,100.0,0.9483814032573625,0.20631487237455445,0.9705632965486243,2.4460499981319064,4.568399059830955,185.94040677495886,2.05078125,2.7412069690929655,2.5069444874484947,0.9280954466718769,19.100779954611443,13.727057725604729,23.52173268865563,206.67842124175147,0.048828125,3.767009406815046,5.16257969304755,2541.7602467106526,014,IMU
COUGH,"('014', 'IMU')",3,73706,747.3149999999998,100.0,0.9407475498080433,0.1656490078709207,0.9552201559213759,3.218757859741268,3.5222350010002055,164.7018782407351,2.05078125,2.60699828124189,2.396087573251684,0.570710200000789,14.54743066301455,13.774189023765569,20.033871871349277,179.31190520031166,0.048828125,2.208324711712951,3.9076629340823983,2289.1197016581827,014,IMU
COUGH,"('014', 'IMU')",4,76511,775.768,100.0,0.9410186855372352,0.1609731549365848,0.9546876573730612,3.4012355072989595,3.509864923821219,243.53929620381558,2.05078125,2.5891024052511566,2.595448923398254,0.5443063073421462,16.102232300604115,14.613759675797134,21.74497314150038,262.156978584612,0.048828125,2.537122770154822,4.223629674932146,2792.3038273516713,014,IMU
COUGH,"('014', 'IMU')",5,72421,734.301,100.0,0.9477068031355299,0.1701706228300688,0.9628635550189547,2.9741832012885725,3.9081339045553065,287.90408745722374,2.05078125,2.734420182983373,2.7826434339174884,0.6149551047510963,17.059152738564503,15.181181037367255,22.836001178993484,267.9258693238533,0.048828125,2.8613528455864317,4.550875876728721,2978.7083241458895,014,IMU
