dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id,candidate_artifact,candidate_reason,manual_label
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",1,109,3.711780071258545,30.0,16234.834458124758,177.99316511097618,16235.810156858242,934.3974042157388,5724.094503545934,31785.37081134365,0.27522935779816515,4.334562731393738,4.082813954118826,100288.50929870161,566.2941087485244,596.1868209848155,822.2698724380372,3462.0790231494425,0.27522935779816515,2.1195425227545517,3.542546745968846,266918.5979700371,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",5,2617,90.17280888557434,30.0,16119.307314657372,149.10377460922726,16119.996905705952,4820.22504685188,5343.587479064886,234786.06007239778,0.0439453125,7.551545024733446,4.244470733046936,1619421.5856860247,252.54298288433066,111.35467023455077,276.00329850775495,4654.5189980300165,0.0146484375,7.390569573422639,4.283010853786411,1059808.5491232567,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",6,9662,333.11936593055725,30.0,16085.208630152196,278.37218836215834,16087.617217934303,5606.677770376771,4462.802018914366,203647.37589827686,0.0146484375,3.3478707450941454,4.488121494688766,1861154.8667564527,285.275913037244,507.79974670284,582.4456449409694,37154.09122572117,0.029296875,4.114742275921811,4.912998994871876,15564529.400009591,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",9,2614,90.08991193771351,30.0,16298.387862598527,181.26045958964613,16299.395764073884,1523.44214093323,3899.7452885817347,33533.00193760824,0.0146484375,2.471502770054241,4.190134508550909,1768346.062526681,261.562507143479,126.80648945262826,290.6799458347308,1506.194559236986,0.029296875,0.7950588511089004,2.182844512062848,1830797.0645615458,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",13,6114,210.81475687026955,30.0,16047.121484894089,282.8554074671336,16049.614173944581,2923.815834883837,4516.744448360866,96737.32047317275,0.0146484375,5.092357498034596,4.910350307810891,1012880.208576862,302.9190110837978,285.2221719623221,416.0668391675674,4731.4349672479375,0.0146484375,1.610227939238659,3.138827139536491,928914.0117532458,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",19,3635,125.3362820148468,30.0,16275.56794140258,322.9481728392594,16278.771677787965,9210.037152976007,8902.64019668051,333032.1012610667,0.0146484375,2.9721142241579175,4.3858934593873204,6996221.845252263,626.1295872193934,1365.4358041781818,1502.1495249552377,37239.21950369822,0.0732421875,4.3181451370696475,4.885673132351822,103693758.06685963,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",20,6823,235.28474187850952,30.0,16929.544899591438,173.28282950766766,16930.431696985303,5076.688017997116,5866.114528551187,178356.65305843027,0.0439453125,5.5820864143901945,4.642613352295884,1844620.2856133762,424.34640084198526,627.941685865919,757.8790330624535,33083.51232561626,0.0439453125,5.311837642831749,5.032706517883607,30386056.535191912,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",21,877,30.20458698272705,30.0,16879.786960291127,113.61437125972968,16880.169313433176,976.792214221452,4485.946048508187,40371.0737024649,2.7708095781071838,7.227500501355951,4.138511166969692,378575.7665705709,340.4359538047213,195.40963584542862,392.5322463494857,1754.1686240105169,0.06841505131128849,2.275370330071977,3.3743759526369472,1041433.0201594312,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_gyroscope_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",22,1754,60.429980993270874,30.0,16884.53422317771,107.0685911760785,16884.8736926539,1371.8218923224285,4000.650845823348,38877.54952232467,0.01710376282782212,7.093109887412942,4.320404849037794,536652.4832219151,318.3731571189556,184.11292079525512,367.7757941703764,1963.034440727822,0.03420752565564424,1.9776047983346894,2.7790934104554728,1975551.1504781048,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_gyroscope_variability,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU2')",24,878,30.229295969008945,30.0,16799.30328842063,139.36296154042208,16799.88133920563,3362.2982344585307,5470.04876282513,144347.16508902065,4.681093394077449,6.780005032752499,4.144694762666867,396016.28350720427,301.2148978905911,351.06823458455887,462.5789878988864,5649.602568531372,0.03416856492027335,2.667074140412465,3.197607288869917,1751353.449216672,single_subject,record_39,Sub-dataset Three,IMU2,True,unusually_high_gyroscope_variability;unusually_large_acceleration_range,
