dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",50,885,30.198092937469482,30.0,15488.911338568374,101.6585632505375,15489.244943428137,806.1057494632714,4044.382759599636,31193.99639883777,3.2542372881355934,6.790567564108058,4.025797638195516,343382.3797359239,1030.9239874575806,77.96242681039855,1033.8676936192583,542.1347417880477,1.5932203389830508,5.93204739776952,4.122885841180229,181723.28834545374,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",52,884,30.143089056015015,30.0,15485.531874602051,116.77704151901065,15485.97217861191,1293.7824513286923,4292.07073978279,37781.161042851745,3.0882352941176476,6.164263310241552,4.088222005156289,427693.7465552674,1025.674331402871,83.36344170309727,1029.05650841502,803.6599267170695,0.20361990950226247,3.8910322112041835,4.053326550002119,237566.67604369024,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",53,1771,60.46232104301498,30.0,15451.693377373647,109.60492563990884,15452.082107861617,1170.3650769827746,4035.9159639245045,43925.37032341187,0.01693958215697346,5.987197294552812,4.0928949651472815,722624.5303412101,1030.577078733111,87.18835754338441,1034.2586354008295,1030.4161768800764,0.40654997176736307,3.787379717046005,3.9749902737006857,484529.09291867114,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",54,1769,60.42842793464615,30.0,15342.290608357453,127.90622033226497,15342.82376593347,1541.0846246371111,4666.754062201821,47499.68746893105,0.016958733747880157,6.953708149788571,4.592452216401486,747523.0252406746,1049.0118556668388,163.7595147684523,1061.7170301011392,1982.072190588777,0.016958733747880157,2.939356664690804,3.8280431818691123,552549.8124360375,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",55,422,14.371742963790894,30.0,15313.746411558861,118.23311700324278,15314.202827032434,1531.5257182722198,4857.432248304409,73752.84152873151,5.545023696682464,7.71419313423448,3.8339360068809674,297616.21368219657,1038.7299594293577,138.1594923178808,1047.877843039755,1533.2494070755142,0.42654028436018954,3.1519839301933525,3.2488315187049617,492980.9579032197,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",56,1347,46.01147103309631,30.0,15311.618775049712,101.84635036125351,15311.957490521476,929.336730252453,4146.037388706999,36529.766436999824,13.452115812917594,7.526130643177294,4.234717502676857,352016.19668300386,1028.5452712377123,89.87962706027679,1032.464877051977,982.9224005358279,0.5567928730512249,4.49236906686782,4.396619922837262,214005.18084923914,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",57,885,30.17223191261246,30.0,15298.947870375738,107.19523705679646,15299.323408547256,1098.4953446896761,4255.17399639276,38758.28211225268,4.135593220338983,7.1610155580135935,4.224460871196675,331245.6265301375,1023.5500319124018,90.64695265274345,1027.5560996135964,1228.9378901494174,0.576271186440678,3.4747285505870664,3.8827019632746342,188536.10425884192,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",58,850,28.997715950012207,30.0,15295.248221888578,95.13688090536486,15295.544096085438,688.7920580191167,3837.393545480008,23372.495730843446,12.705882352941176,7.426091216807603,4.329192007168869,252432.48320106821,1039.0988292558113,107.61642441517967,1044.6567243667682,844.0283012356433,0.24705882352941178,2.400545096602372,3.741066539196577,268857.93978675356,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",59,1770,60.46943497657776,30.0,15284.23723353285,108.64038715354177,15284.623336694718,1008.2499344854114,4322.000032216666,29271.0109320323,0.6101694915254238,7.155321557715012,4.356219592213421,698270.8071070316,1029.0802075900215,90.86117688607501,1033.083649623129,833.0906563281757,0.5084745762711864,3.8144841298865537,4.012005210776733,417941.3746030537,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",60,2656,90.70218896865799,30.0,15279.515124499047,108.53304404994424,15279.90058414798,890.8837230443842,4295.283685509177,36483.76594290283,0.029296875,7.0909540594878875,4.210066551182199,774636.1907257694,1033.921990598537,122.1265528744674,1041.1097817042355,1969.0931234114823,0.5712890625,2.888248485215417,3.999878126484921,481999.7458031803,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",61,886,30.1945219039917,30.0,15265.692803665592,89.31846643695287,15265.954099378594,592.4689039770929,3618.6342248997385,25382.38571737201,4.266365688487585,7.143083206266567,4.233577608004631,218507.92310930646,1027.251564273449,73.70314593235157,1029.8921933982087,557.6670528252239,0.5079006772009029,3.1194531474411757,3.772617949109244,172010.0457756465,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",62,1770,60.44135785102799,30.0,15260.921801344728,99.17117153559839,15261.244023605106,801.6098385351033,4142.528097667013,32991.91215400417,4.9491525423728815,7.793668502140236,4.323095291423056,551226.2083835939,1026.1084093845573,69.55145222551442,1028.4628687105744,516.7269402365137,0.4406779661016949,5.071847240958452,4.800298773971527,296131.91199502966,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",63,885,30.222728013991855,30.0,15257.164856234795,109.36983575637211,15257.556855909123,714.2889025512704,4482.607523259237,30498.199753728375,9.186440677966102,7.135611171856036,4.156334857431764,358674.90129948617,1026.862982587443,62.583316377419216,1028.7683201271193,511.81219648097954,0.4745762711864407,3.6970558925946264,4.2780283729597475,118948.39930447997,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",64,40,1.3271839618682861,30.0,15277.216643466902,102.21951172795245,15277.55861386236,532.7837077676068,3738.69626214947,17102.337831074157,4.5,7.376477443703376,4.229639204375364,8328.776491421773,1008.7324899537678,54.03992701393727,1010.1789692920755,195.42970979490576,0.75,2.035226703804162,2.990132864126598,2935.162290084475,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",65,844,28.800168991088412,30.0,15259.857906825191,107.21789833162963,15260.234566159788,657.3576957916175,4361.21537850666,26899.211435611847,3.056872037914692,7.3996973216507955,4.265771680544968,308336.1722960668,1027.3740648807113,81.10223350610353,1030.57025062302,586.7004108015201,0.3909952606635071,3.5636068761436994,4.313668317479124,187653.71431495063,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",66,1770,60.467040061949774,30.0,15254.8077535019,110.97491584564703,15255.2114055574,909.4835818236388,4574.287739775532,31210.98751965865,13.288135593220339,7.584687787964369,4.201312533563964,715402.7521032826,1023.9467397207299,68.10507568406342,1026.2091536907299,534.4165037379137,0.4576271186440678,5.422896271021307,4.6983508432909185,261875.3874321031,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",67,885,30.20223617553711,30.0,15528.232680113213,336.0015495552205,15531.86747332849,2985.2564711439754,7046.716744534658,96197.71427168755,0.03389830508474576,2.381016292799813,3.429112415245854,5843689.963523481,1246.6217517458067,638.228927585094,1400.500609043853,4620.549822630839,0.06779661016949153,0.6094809463508104,1.2165038964214783,27671310.204297915,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",68,885,30.18191695213227,30.0,15656.529629728333,99.82890896891035,15656.847890224491,572.1824307152492,4191.108460292511,29971.505666581055,4.135593220338983,7.327955224966936,4.285550671497786,306957.89085494727,1026.9519123952782,78.86216338727597,1029.9754711576586,719.9698729440895,0.4406779661016949,2.5732754636722617,3.5344129197198857,189422.65322662744,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",69,884,30.18450689315796,30.0,15634.764189085017,107.53751585189023,15635.134011757329,768.7567463730829,4337.998995328764,27295.05427382344,4.276018099547512,7.312961104149199,4.463982554058536,339734.1697997012,1034.1353729168345,85.86542365758801,1037.6940013788928,642.0512261929074,0.4751131221719458,1.9261420521274026,2.9995202654890982,256791.9710262112,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",70,1770,60.45927214622452,30.0,15549.359854890354,99.25486946708111,15549.676634129364,961.8267443304303,3890.418111059207,27485.89986568239,5.796610169491525,7.77504884138427,4.3129273749217925,488092.0057069473,1030.5480268603276,97.03728350888072,1035.1065017941378,717.4408972605893,0.4745762711864407,1.9545975674744667,3.1257088320362887,580065.8501948391,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",71,3540,120.94514489173935,30.0,15552.667089027827,105.52435558713385,15553.025074619774,1134.4660801290465,3952.0180213603635,29742.897651437306,2.5927734375,7.029714610419976,4.279504955590578,648053.5951123554,1032.7483704361946,108.56070953696702,1038.4385510437223,1696.8691963782783,0.439453125,2.4885055796670477,3.562438433159117,557900.1515548247,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",72,5311,181.4518768787375,30.0,15566.58678806168,102.99503684121333,15566.927513413508,1071.1284979818338,4071.7798198952155,43301.86559926967,0.0146484375,7.005446991170825,4.197028373860256,731492.5220381151,1034.1917007797913,100.01469181182084,1039.0165602818904,1388.919025973969,0.556640625,2.9486226251982246,3.6263235394512416,754587.0784589844,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",73,1769,60.446001052857355,30.0,15561.838866106636,116.62661241538162,15562.27588308955,1302.987575930998,4415.479036246792,43833.90161172613,2.6116449971735443,6.659709115343726,4.121464639964844,840400.3045782279,1033.828571256822,115.80084757404347,1040.2938772509374,1088.5182032601133,0.5087620124364047,2.1600398626553856,2.786394428670974,906075.7525323391,single_subject,record_17,Sub-dataset Three,IMU3
